id,synced_at,status,error_message,rows_inserted,duration_ms
8623f23b-3817-40e0-abb1-1e4f7e5a2d9f,2026-05-18 02:00:31.607889+00,success,,22,1850
7439f172-0599-4211-af21-91811eacee7a,2026-05-18 03:00:06.662849+00,success,,22,4253
79a188d1-7e2a-49c4-9d56-c1e43d187758,2026-05-19 03:00:04.870809+00,success,,23,3355
48f86b84-ab1c-4523-a907-97d49562150a,2026-05-20 03:00:04.278661+00,success,,24,2281
1a99a55b-cc32-4a72-b834-d2edb345e0f3,2026-05-21 03:00:03.323606+00,success,,25,2121
5687b76f-2da3-4089-a4ed-70722ee4551f,2026-05-22 03:00:04.64921+00,success,,26,2932
5480dd21-7059-4341-9e29-abbafed83200,2026-05-23 03:00:03.645043+00,success,,27,2425
749c8769-5638-48cf-8646-3039da0ae188,2026-05-24 03:00:04.852269+00,success,,28,2955
8f600e6e-b580-4866-ac95-6adfe04657bd,2026-05-25 03:00:04.110754+00,success,,31,2754
6d461261-26ec-443b-8139-7a3eaf9e9b35,2026-05-26 03:00:03.398287+00,success,,33,2282
c09f7fd6-f631-459c-97e4-0d5656dec362,2026-05-27 03:00:03.050004+00,success,,33,2006
ad13aa1d-9282-47bd-8a00-457b22e99421,2026-05-28 03:00:03.934546+00,success,,32,2182
113c14d6-b434-458d-be7c-fa8f3e0f29c2,2026-05-29 03:00:05.466897+00,success,,32,3533
aa85b680-749e-4347-bf15-415dc1a6c48e,2026-05-30 03:00:03.19757+00,success,,32,2046
d44e7f86-a2fe-4579-b078-b95ee252ff61,2026-05-31 03:00:03.817202+00,success,,32,2570
a1d435de-858c-4a41-8f6f-80c51959d6d5,2026-06-01 03:00:03.385858+00,success,,32,2156
d01575eb-6ec5-453f-b2bc-d10e9cf5b70d,2026-06-02 03:00:03.839395+00,success,,32,2269
92a52463-4300-4850-a644-f3d6670398a0,2026-06-03 03:00:04.054148+00,success,,32,2325
e0191b55-c676-4387-8da7-48cc676c2395,2026-06-04 03:00:04.164498+00,success,,32,2228
1ab8d7a6-d5d8-4345-a2a8-f840c665dc1d,2026-06-05 03:00:03.896116+00,success,,31,2220
3c4bfca6-25bb-41e2-b5d0-f3c7e5c41432,2026-06-06 03:00:03.498973+00,success,,30,2312
0d4507cb-6aa5-4ed6-9f24-59ea071f3663,2026-06-07 03:00:05.016218+00,success,,31,3083
3173fef3-f16e-4639-b86d-42ccc4825be3,2026-06-08 03:00:03.851268+00,success,,32,2329
b36dcef0-9b65-44f5-b4ec-06efa879cad4,2026-06-09 03:00:04.333895+00,success,,32,2905
b245b0a2-1e32-403e-a985-8818929908c0,2026-06-10 03:00:04.740122+00,success,,32,3084
478a1387-ad18-4311-878b-b13b7a67ef45,2026-06-11 03:00:04.449871+00,success,,32,2879
5e26c0a3-3d6c-4c24-94d7-3245ae1b4235,2026-06-12 03:00:04.756026+00,success,,32,3300
26e74ba5-736d-4f8a-a391-a3f3a9ea885c,2026-06-13 03:00:05.564557+00,success,,32,4384
318b34f1-66ca-4dc9-9fca-066366a0f670,2026-06-14 03:00:03.138286+00,success,,32,1833
0a580832-ee3d-44dd-bef6-44dd4ecf0065,2026-06-15 03:00:05.011257+00,success,,32,2678
9501b9c6-67f4-4766-9561-55e93610ef8e,2026-06-16 03:00:03.898603+00,success,,32,1165
e1367ca0-f814-404f-ba39-361b962c5238,2026-06-17 03:00:04.41273+00,success,,32,3449
cb82236f-d997-41e2-91ab-29fee5896475,2026-06-18 03:00:03.335693+00,success,,32,2242
499ceab1-49b1-4a89-96e8-7ae165535845,2026-06-19 03:00:04.93991+00,success,,32,2680
590fd6b1-45c8-46ff-a5bc-7bc3f854aae2,2026-06-20 03:00:03.430207+00,success,,32,1904
10d50e33-2067-475b-8423-5dbcb1cbfd4b,2026-06-21 03:00:03.328576+00,success,,32,2304
be35f0ad-a5ac-4e5f-82f5-163fd63984ca,2026-06-22 03:00:03.512952+00,success,,31,2552
6f387026-2424-4b5b-b52d-b907b2484d47,2026-06-23 03:00:03.453521+00,success,,30,2527
