id,date,page_url,clicks,impressions,ctr,position,updated_at
85513623-1264-4125-b5b3-ceca99309e31,2026-05-28,https://solisforest.com/about,0,6,0,4,2026-05-30 03:00:03.029+00
d5d59e55-5e5f-40e0-8c2d-743779752a92,2026-05-28,https://solisforest.com/blog,0,1,0,2,2026-05-30 03:00:03.029+00
3f57b00a-ecfa-4e61-b5f5-f56d8b4a8128,2026-05-28,https://solisforest.com/ebooks,0,2,0,1,2026-05-30 03:00:03.029+00
f0a0f41b-45e2-4b0b-aa05-94f4a6e2d897,2026-05-28,https://solisforest.com/quiz,0,1,0,5,2026-05-30 03:00:03.029+00
4d6c4147-411d-4ce2-a841-a03b2210b731,2026-05-29,https://solisforest.com/about,0,6,0,4,2026-05-31 03:00:03.582+00
8b9cf910-5ff1-450e-bcae-6b6a2b3a2887,2026-05-29,https://solisforest.com/blog,0,1,0,2,2026-05-31 03:00:03.582+00
196409d0-0f0f-4eb6-9a0c-8d5710401e72,2026-05-29,https://solisforest.com/ebooks,0,2,0,1,2026-05-31 03:00:03.582+00
d56336ba-8556-4fa7-aa50-3e21f06bd7db,2026-05-29,https://solisforest.com/quiz,0,1,0,5,2026-05-31 03:00:03.582+00
83385a62-3f21-4172-8ef8-31eb75a1d896,2026-05-30,https://solisforest.com/about,0,6,0,4,2026-06-01 03:00:03.139+00
46fc872a-9a23-4822-98f8-b3fdaf8984f1,2026-05-30,https://solisforest.com/blog,0,1,0,2,2026-06-01 03:00:03.139+00
dace1e58-64d5-40aa-b987-7a070739eb5e,2026-05-30,https://solisforest.com/ebooks,0,2,0,1,2026-06-01 03:00:03.139+00
9f91e6ea-1aa4-40dc-b6db-b989a5ee9833,2026-05-30,https://solisforest.com/quiz,0,1,0,5,2026-06-01 03:00:03.139+00
d869d56a-a964-4799-bb51-d24f682053d9,2026-05-31,https://solisforest.com/about,0,6,0,4,2026-06-02 03:00:03.543+00
0c4067d4-cbc0-4609-b056-9604cd17a388,2026-05-31,https://solisforest.com/blog,0,1,0,2,2026-06-02 03:00:03.543+00
ac6a047c-2175-46aa-b92b-05d1690c1ae0,2026-05-31,https://solisforest.com/ebooks,0,2,0,1,2026-06-02 03:00:03.543+00
1966a74b-69fb-474c-8b56-610cc13e2340,2026-05-31,https://solisforest.com/quiz,0,1,0,5,2026-06-02 03:00:03.543+00
3f900101-4f07-44bb-b994-3476274b1106,2026-06-01,https://solisforest.com/about,0,6,0,4,2026-06-03 03:00:03.723+00
97ec6984-a961-49c0-a8be-d3ae4ad589ec,2026-06-01,https://solisforest.com/blog,0,1,0,2,2026-06-03 03:00:03.723+00
